Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PGBD1		3	3	597	0.5%	No
PGBD2		4	4	1525	0.3%	No
TSPAN8		2	2	1525	0.1%	No
PGBD5		5	5	1725	0.3%	Yes
TSPAN9		1	1	200	0.5%	No
ERI1		1	1	200	0.5%	No
ERI3		1	1	200	0.5%	No
TSPAN5		1	1	200	0.5%	No
TSPAN2		3	3	597	0.5%	No
OR7D4		3	3	597	0.5%	No
HMGCLL1		4	4	1525	0.3%	No
SEC31A		2	2	200	1.0%	Yes
PPP1R26		8	8	1525	0.5%	No
XRCC6		4	4	1725	0.2%	No
PPP1R21		2	2	1525	0.1%	No
PCDH20		1	1	200	0.5%	No
RASSF7		3	3	597	0.5%	No
DCLK3		1	1	200	0.5%	No
IFI44		3	3	597	0.5%	No
XRCC1		4	3	1725	0.2%	Yes
DCLK2		2	2	1525	0.1%	No
PNMA8A		1	1	200	0.5%	No
RASSF9		3	3	597	0.5%	No
PRG4		1	1	200	0.5%	No
PRG3		1	1	200	0.5%	No
DCLK1		12	12	2122	0.6%	No
PNMA8B		1	1	903	0.1%	No
PPP1R1A		2	2	1525	0.1%	No
BPIFB3		1	1	200	0.5%	No
BPIFB6		1	1	200	0.5%	No
ID4		2	2	1525	0.1%	No
PAF1		4	2	200	1.0%	No
RGL3		2	2	1525	0.1%	No
CALM3		1	1	200	0.5%	No
RGL1		3	3	597	0.5%	No
RGL2		1	1	200	0.5%	No
KIAA0825		1	1	200	0.5%	No
INTS11		3	3	1725	0.2%	No
BARHL1		6	6	1525	0.4%	No
GASK1A		4	4	1525	0.3%	No
BARHL2		1	1	200	0.5%	No
INTS13		3	3	597	0.5%	No
PPP1R10		1	1	200	0.5%	No
GPAA1		1	1	150	0.7%	No
INTS10		2	2	1525	0.1%	No
HNF4G		3	3	1725	0.2%	No
KIF14		2	2	200	1.0%	No
MIA2		1	1	200	0.5%	No
SECTM1		1	1	150	0.7%	No
BRCA1		2	2	1525	0.1%	Yes
IDE		3	3	1725	0.2%	No
KIF11		2	2	1525	0.1%	No
BRCA2		2	2	200	1.0%	Yes
INTS15		1	1	200	0.5%	No
AP2A2		2	2	1525	0.1%	No
KIF17		4	4	1525	0.3%	No
KIF15		5	5	200	2.5%	No
SPANXN3		2	2	1525	0.1%	No
HNF4A		3	3	1725	0.2%	No
ARIH2		2	2	1525	0.1%	No
KIF1C		3	3	597	0.5%	No
QSOX1		5	5	1725	0.3%	No
KIF1B		7	7	1725	0.4%	No
KIF1A		2	2	1525	0.1%	No
ARIH1		2	2	1525	0.1%	No
NBPF3		1	1	200	0.5%	No
NXPE2		2	2	200	1.0%	No
SORCS1		1	1	200	0.5%	No
MMEL1		4	4	1525	0.3%	No
KIF22		1	1	200	0.5%	No
SORCS3		3	3	597	0.5%	No
RGMB		4	4	1525	0.3%	No
ZFY		1	1	200	0.5%	No
TLCD3B		7	7	597	1.2%	No
SORCS2		9	9	1525	0.6%	No
NBPF1		1	1	200	0.5%	No
KIF27		3	3	597	0.5%	No
AJAP1		2	2	1525	0.1%	No
KIF2C		2	2	200	1.0%	No
KIF2B		11	11	2122	0.5%	No
PDZRN3		2	2	1525	0.1%	No
PDZRN4		5	5	1525	0.3%	No
POPDC2		2	2	1525	0.1%	No
TMPRSS9		1	1	200	0.5%	No
POPDC3		3	3	1725	0.2%	No
TMPRSS7		1	1	200	0.5%	No
TMPRSS5		2	2	1525	0.1%	No
TMPRSS6		6	6	1525	0.4%	No
STX18		2	2	200	1.0%	No
TMPRSS4		2	2	200	1.0%	No
TXLNG		4	4	1725	0.2%	No
PRKX		1	1	150	0.7%	No
COL19A1		13	13	2122	0.6%	No
EXOSC9		2	2	1525	0.1%	No
DGLUCY		2	2	1525	0.1%	No
PAK3		1	1	200	0.5%	Yes
PAK5		2	2	1525	0.1%	Yes
MICB		2	1	200	0.5%	No
RFTN2		2	2	1525	0.1%	No
PLEKHA1		2	2	1525	0.1%	No
CRYBB1		4	4	1525	0.3%	No
AKR1C1		1	1	200	0.5%	No
PLEKHA6		1	1	200	0.5%	No
PLEKHA4		5	5	1725	0.3%	No
MIB1		1	1	200	0.5%	Yes
DPY19L2		4	4	1525	0.3%	No
WWC1		5	3	1525	0.2%	No
WWC2		2	2	1525	0.1%	No
IHH		2	2	1525	0.1%	No
JADE2		1	1	200	0.5%	No
RGS3		1	1	200	0.5%	No
KIF5C		2	2	1525	0.1%	No
RGS1		1	1	200	0.5%	No
KIF5B		3	3	200	1.5%	Yes
KHSRP		1	1	200	0.5%	No
KIF5A		1	1	200	0.5%	No
ARID2		17	15	2122	0.7%	Yes
GGT1		2	2	1525	0.1%	No
G6PD		2	2	200	1.0%	No
MAT1A		4	4	597	0.7%	No
PRLR		2	2	1525	0.1%	No
MID2		1	1	200	0.5%	No
ERN1		4	4	1525	0.3%	No
PLA2G15		1	1	200	0.5%	No
ERN2		2	2	1525	0.1%	No
DOK2		3	3	597	0.5%	No
DOK4		3	3	1725	0.2%	No
TMX2		1	1	200	0.5%	No
DOK6		2	2	1525	0.1%	No
DOK7		1	1	200	0.5%	No
MASP2		1	1	200	0.5%	No
MASP1		5	5	822	0.6%	No
PSMD10		1	1	200	0.5%	No
CALCB		1	1	200	0.5%	No
PSMD11		1	1	200	0.5%	No
PSMD14		4	4	1525	0.3%	No
YTHDC1		1	1	200	0.5%	No
YTHDC2		2	2	200	1.0%	No
MCHR1		2	2	1525	0.1%	No
MCHR2		4	4	597	0.7%	No
FUT6		3	3	1725	0.2%	No
FUT5		2	2	1525	0.1%	No
CALCR		1	1	200	0.5%	No
DEAF1		2	2	1525	0.1%	No
FUT9		2	2	1525	0.1%	No
KIF3A		1	1	200	0.5%	No
CAMTA1		4	4	597	0.7%	Yes
NPHP3		1	1	150	0.7%	No
NPHP4		7	7	1675	0.4%	No
CAMTA2		3	2	822	0.2%	No
NXPH1		2	2	1525	0.1%	No
KIF3C		1	1	200	0.5%	No
PRPH		5	3	1525	0.2%	No
ITPRID1		4	4	1525	0.3%	No
PHF10		2	2	1525	0.1%	No
CACFD1		1	1	200	0.5%	No
PHF12		1	1	200	0.5%	No
CLK3		1	1	200	0.5%	No
PAN2		4	4	200	2.0%	No
AFDN		5	5	2122	0.2%	Yes
PROC		2	2	1525	0.1%	No
PAN3		3	3	1725	0.2%	No
PHF13		4	4	1525	0.3%	No
PICALM		2	2	1525	0.1%	Yes
PHF19		1	1	200	0.5%	Yes
PRR5		2	2	1525	0.1%	No
SNED1		5	5	2122	0.2%	No
GSK3B		1	1	200	0.5%	Yes
PRR7		4	4	1525	0.3%	No
CPXM2		1	1	197	0.5%	No
PRKCSH		2	2	1525	0.1%	No
MAST2		3	3	1725	0.2%	No
MAST1		2	2	1525	0.1%	No
DNAAF11		2	2	1525	0.1%	No
PPP1R9A		3	3	597	0.5%	No
PRR9		2	2	1525	0.1%	No
AFF4		3	3	597	0.5%	Yes
AFF1		2	2	200	1.0%	Yes
AFF2		3	3	597	0.5%	No
DNAAF10		1	1	200	0.5%	No
CALB1		2	2	1525	0.1%	No
CPXM1		1	1	200	0.5%	No
PLA2G4F		1	1	200	0.5%	No
PLA2G4D		3	3	597	0.5%	No
PLA2G4E		2	2	1525	0.1%	No
PLA2G4C		3	3	597	0.5%	No
PLA2G4A		1	1	200	0.5%	No
MASTL		2	2	1525	0.1%	No
SSTR4		3	3	597	0.5%	No
VCAN		3	3	597	0.5%	No
NCBP3		2	1	200	0.5%	No
ZP3		2	2	1525	0.1%	No
EAPP		1	1	200	0.5%	No
ZP4		2	2	1525	0.1%	No
TMEM45A		1	1	200	0.5%	No
MAT2B		1	1	150	0.7%	No
SAMHD1		1	1	200	0.5%	Yes
AURKC		3	3	597	0.5%	No
AURKB		9	9	2122	0.4%	Yes
PARL		1	1	200	0.5%	No
CLN3		1	1	200	0.5%	No
SH3TC2		8	7	2122	0.3%	No
SH3TC1		2	2	1525	0.1%	No
TAS1R2		3	3	1675	0.2%	No
TAS1R1		1	1	200	0.5%	No
ATOH1		3	3	1725	0.2%	No
MBTPS1		3	3	597	0.5%	No
PLA2G2D		3	3	597	0.5%	No
PLA2G2E		2	2	1525	0.1%	No
MAPK13		6	6	1725	0.3%	No
CHPT1		1	1	200	0.5%	No
PMFBP1		1	1	200	0.5%	No
R3HDM1		3	3	597	0.5%	No
MBTPS2		2	2	1525	0.1%	No
R3HDM2		1	1	200	0.5%	No
PATJ		1	1	150	0.7%	No
RXFP4		1	1	200	0.5%	No
SOX21		2	2	1525	0.1%	No
RXFP1		2	2	1525	0.1%	No
BACH1		1	1	200	0.5%	No
HOXA9		1	1	200	0.5%	Yes
HOXA1		4	4	1525	0.3%	No
DIP2B		2	2	200	1.0%	No
DIP2C		1	1	200	0.5%	No
HOXA5		1	1	200	0.5%	No
EARS2		1	1	200	0.5%	No
UNC13B		1	1	200	0.5%	No
UNC13C		4	4	1525	0.3%	No
ACOT9		1	1	200	0.5%	No
ACOT7		2	2	1525	0.1%	No
UNC13A		1	1	200	0.5%	No
SERPINF2		1	1	200	0.5%	No
SOX11		6	6	1525	0.4%	No
SYTL5		3	3	597	0.5%	No
PASK		4	3	1725	0.2%	Yes
SYTL4		3	3	597	0.5%	No
CLPX		7	7	2122	0.3%	No
SYTL2		2	2	200	1.0%	No
VCF1		2	2	1525	0.1%	No
FCAMR		1	1	200	0.5%	No
VCF2		2	2	1525	0.1%	No
DYNC1LI1		1	1	200	0.5%	No
BIN3		1	1	200	0.5%	No
BIN2		1	1	200	0.5%	No
PRR19		2	2	200	1.0%	No
LGALS13		4	4	1525	0.3%	No
LGALS12		1	1	200	0.5%	No
ACOT2		16	9	1525	0.6%	No
FDX2		1	1	200	0.5%	No
SERPING1		1	1	200	0.5%	No
PRR12		2	2	1525	0.1%	No
DUS3L		1	1	150	0.7%	No
PRR14		4	4	1525	0.3%	No
LINS1		1	1	200	0.5%	No
PRR21		9	9	2122	0.4%	No
HOXD1		2	2	1525	0.1%	No
MAPKAP1		2	2	1525	0.1%	Yes
C1ORF198		2	2	1525	0.1%	No
RAD21		54	52	2272	2.3%	Yes
PRR27		6	6	1525	0.4%	No
HOXC5		1	1	200	0.5%	No
HOXC4		1	1	200	0.5%	No
HOXC8		1	1	200	0.5%	No
ELANE		3	3	597	0.5%	No
PRR25		2	2	1525	0.1%	No
TRIP4		4	4	597	0.7%	No
OR5P2		3	3	597	0.5%	No
INO80		1	1	200	0.5%	No
SOX30		3	3	1725	0.2%	No
ISX		1	1	200	0.5%	No
RAD17		1	1	150	0.7%	Yes
TNFSF8		1	1	200	0.5%	No
HOXD3		2	2	1525	0.1%	No
SERPINI1		8	8	1525	0.5%	No
SERPINA1		1	1	200	0.5%	No
SPIN3		2	2	200	1.0%	No
LPCAT1		1	1	200	0.5%	No
HIF3A		3	3	1725	0.2%	No
SERPINA4		1	1	200	0.5%	No
CYB561D2		2	2	1525	0.1%	No
PIP4P2		3	3	597	0.5%	No
OR5W2		3	3	597	0.5%	No
TRIM5		1	1	200	0.5%	No
TRIM3		4	4	1525	0.3%	No
TNKS1BP1		5	5	1725	0.3%	No
AP3S2		5	5	2122	0.2%	No
FCRL1		2	2	1525	0.1%	No
SERPINB4		3	3	597	0.5%	Yes
FCRL2		2	2	1525	0.1%	No
CNTD1		3	3	1725	0.2%	No
CLUH		2	2	200	1.0%	No
TNNC2		3	3	597	0.5%	No
PAX3		3	3	597	0.5%	Yes
PAX6		2	2	1525	0.1%	No
PAX5		1	1	200	0.5%	Yes
SERPINB7		1	1	200	0.5%	No
PAX1		4	4	1525	0.3%	No
BACE1		1	1	200	0.5%	No
INF2		4	4	1525	0.3%	No
IVD		1	1	200	0.5%	No
IVL		4	4	1525	0.3%	No
PHLPP1		3	3	597	0.5%	Yes
AHNAK		7	5	200	2.5%	No
SERPINC1		2	2	1525	0.1%	No
HSPA13		4	4	597	0.7%	No
TM9SF4		3	3	597	0.5%	No
TM9SF3		2	2	1525	0.1%	No
CHRND		2	2	1525	0.1%	No
IGLV3-27		3	3	597	0.5%	No
IGLV3-22		3	3	597	0.5%	No
OR2AG1		3	3	597	0.5%	No
RHBG		3	3	1725	0.2%	No
MISP		2	2	1525	0.1%	No
ADAT1		1	1	200	0.5%	No
WWP1		2	2	200	1.0%	Yes
GTF2H1		1	1	200	0.5%	No
WWP2		2	2	350	0.6%	No
SEPTIN4		4	4	822	0.5%	No
GTF2H4		1	1	200	0.5%	No
KTN1		2	2	1525	0.1%	Yes
STING1		2	2	1525	0.1%	No
LPCAT4		2	2	1525	0.1%	No
LPCAT3		1	1	200	0.5%	No
LPCAT2		1	1	150	0.7%	No
ZYX		1	1	200	0.5%	No
NOTUM		2	2	1525	0.1%	No
CYB561		2	2	1525	0.1%	No
SEMA5A		7	7	1725	0.4%	No
GHDC		2	2	1525	0.1%	No
SEMA5B		1	1	200	0.5%	No
CLSTN2		1	1	200	0.5%	No
TUSC3		4	4	597	0.7%	Yes
RTKN2		4	4	1525	0.3%	No
TUSC1		2	2	1525	0.1%	No
CHRM5		1	1	200	0.5%	No
CLSTN1		1	1	200	0.5%	No
TUBB8		1	1	200	0.5%	No
SMR3B		6	6	1525	0.4%	No
TUBB6		1	1	200	0.5%	No
TUBB3		1	1	200	0.5%	No
TUBB1		4	3	1725	0.2%	No
SMARCAD1		1	1	200	0.5%	No
GYG2		3	3	597	0.5%	No
STK32A		3	3	597	0.5%	No
STK32B		2	2	1525	0.1%	No
TECTA		2	2	200	1.0%	No
TOR3A		3	3	1725	0.2%	No
SEMA6D		3	3	597	0.5%	No
GTF2F1		4	4	1525	0.3%	No
ADAM2		3	3	1725	0.2%	No
RALGAPB		2	2	200	1.0%	No
TNIK		5	5	1525	0.3%	No
INTS6L		1	1	200	0.5%	No
DNMT1		4	3	597	0.5%	Yes
MINDY4		2	2	350	0.6%	No
TNKS		2	2	200	1.0%	No
MINDY2		1	1	200	0.5%	No
ITPR1		3	3	597	0.5%	No
RHOBTB3		1	1	200	0.5%	No
ITPR3		7	7	2122	0.3%	No
RASAL2		1	1	200	0.5%	No
GTF2E1		1	1	200	0.5%	No
RHOBTB1		4	4	1725	0.2%	No
RHOBTB2		1	1	622	0.2%	No
C1ORF105		5	5	2122	0.2%	No
ITPRIPL1		4	4	1525	0.3%	No
PSAP		2	2	1525	0.1%	No
ANKRD34A		3	3	822	0.4%	No
SLC37A2		3	3	597	0.5%	No
ATP8B4		1	1	200	0.5%	No
ATP8B3		5	3	1725	0.2%	No
ATP8B2		3	2	200	1.0%	No
WFS1		2	2	1525	0.1%	No
TNK2		5	5	1525	0.3%	No
CEP350		1	1	150	0.7%	No
TECRL		1	1	200	0.5%	No
GON4L		2	1	200	0.5%	No
SERINC1		1	1	200	0.5%	No
SERINC5		1	1	200	0.5%	No
SERINC4		3	3	1725	0.2%	No
LMBR1L		1	1	200	0.5%	No
DAGLA		2	2	200	1.0%	No
SYCP2		8	8	1725	0.5%	No
RNPEPL1		1	1	200	0.5%	No
SYCP1		2	2	1525	0.1%	No
METTL14		1	1	200	0.5%	No
METTL13		2	2	1525	0.1%	No
PSD4		3	3	1675	0.2%	No
HYDIN		3	3	597	0.5%	No
SPANXD		2	2	1525	0.1%	No
ELAC1		2	2	1525	0.1%	No
PLPBP		2	2	1525	0.1%	No
ASMTL		1	1	150	0.7%	Yes
C1ORF162		1	1	200	0.5%	No
NIPSNAP1		3	3	597	0.5%	No
C1ORF167		2	2	1525	0.1%	No
METTL22		1	1	200	0.5%	No
RTN4RL1		3	3	597	0.5%	No
DMRTA1		4	4	1525	0.3%	No
SLC24A4		3	3	597	0.5%	No
SLC24A3		3	3	597	0.5%	No
SEMA3D		4	4	1525	0.3%	No
SEMA3A		6	6	597	1.0%	No
JAKMIP2		1	1	200	0.5%	No
ETFRF1		3	3	597	0.5%	No
CTNNAL1		2	2	1525	0.1%	No
SEMA4A		7	7	597	1.2%	No
ANKRD30B		1	1	200	0.5%	No
ANKRD30A		3	3	597	0.5%	No
CDC42BPG		5	5	1525	0.3%	No
SEMA4C		2	2	1525	0.1%	No
SEMA4F		2	2	1525	0.1%	No
C1ORF141		1	1	200	0.5%	No
CDC42BPB		4	4	1725	0.2%	No
CDC42BPA		1	1	200	0.5%	No
TPCN2		1	1	200	0.5%	No
TPCN1		3	3	1725	0.2%	No
RAD52		1	1	200	0.5%	Yes
RAD50		2	2	200	1.0%	Yes
RAD51		1	1	200	0.5%	Yes
CROCC		16	16	2272	0.7%	No
ESF1		2	2	200	1.0%	No
TNP2		2	2	1525	0.1%	No
SLC24A5		2	2	1525	0.1%	No
CMAS		3	3	1525	0.2%	No
HSF2BP		1	1	200	0.5%	No
ANTXR2		3	3	1725	0.2%	No
SAP130		3	3	597	0.5%	No
DPF2		4	4	1525	0.3%	No
CHAC1		1	1	200	0.5%	No
TNS4		1	1	200	0.5%	No
TNS3		1	1	200	0.5%	No
TNS2		1	1	200	0.5%	No
TNS1		6	6	1525	0.4%	No
CMC4		1	1	200	0.5%	No
SLC6A14		2	2	1525	0.1%	No
SLC11A2		2	2	200	1.0%	No
EBF1		2	2	1525	0.1%	Yes
SLC6A13		1	1	200	0.5%	No
ACOD1		2	2	1525	0.1%	No
PSG3		1	1	200	0.5%	No
ZPBP		3	3	597	0.5%	No
RUNX1		274	236	2122	11.1%	Yes
MARF1		1	1	200	0.5%	No
TCERG1L		4	4	597	0.7%	No
PSG7		3	3	597	0.5%	No
GRWD1		3	3	597	0.5%	No
BOLA2		3	3	200	1.5%	No
WDPCP		2	2	1525	0.1%	No
ALDH7A1		4	4	200	2.0%	No
PLPP1		3	3	597	0.5%	No
LMAN2L		3	3	1725	0.2%	No
INTU		1	1	200	0.5%	No
NMD3		3	3	1725	0.2%	No
SLC6A20		3	3	597	0.5%	No
RFPL4A		4	4	1525	0.3%	No
SGPL1		1	1	200	0.5%	No
LCN15		2	2	1525	0.1%	No
DPH2		1	1	200	0.5%	No
NAALAD2		2	2	1525	0.1%	No
OR6B2		3	3	597	0.5%	No
OR6B1		1	1	200	0.5%	No
NTSR2		5	5	2122	0.2%	No
IGKV6-21		1	1	200	0.5%	No
SIGLEC14		1	1	150	0.7%	No
INSR		1	1	200	0.5%	Yes
SIGLEC11		2	2	200	1.0%	No
SIGLEC10		7	7	1525	0.5%	No
AMMECR1		2	2	1525	0.1%	No
NOTCH2NLA		3	3	597	0.5%	No
MARCO		2	2	1525	0.1%	No
DMRTC2		1	1	200	0.5%	No
RTL8A		1	1	200	0.5%	No
TCHHL1		4	4	597	0.7%	No
NODAL		1	1	200	0.5%	No
RYR1		5	5	597	0.8%	No
INVS		1	1	200	0.5%	No
RYR2		1	1	200	0.5%	No
DAZAP1		1	1	150	0.7%	Yes
RYR3		9	8	597	1.3%	No
EPB41L4B		2	2	1525	0.1%	No
GYS1		1	1	200	0.5%	No
UCHL1		2	2	1525	0.1%	Yes
EPB41L4A		2	2	1525	0.1%	No
ESM1		1	1	200	0.5%	No
CAMKV		6	6	2122	0.3%	No
PCF11		2	2	200	1.0%	No
NKIRAS2		2	2	1525	0.1%	No
TUBG2		1	1	200	0.5%	No
IL17RE		1	1	200	0.5%	No
IL17RD		3	3	597	0.5%	No
RHOC		2	1	200	0.5%	No
RHOD		2	2	1525	0.1%	No
AP3B2		1	1	200	0.5%	No
CEACAM3		1	1	200	0.5%	No
NME6		1	1	200	0.5%	No
CEACAM6		2	2	1525	0.1%	No
NME7		1	1	200	0.5%	No
CEACAM5		1	1	200	0.5%	No
TNNT2		2	2	200	1.0%	No
NME8		2	2	200	1.0%	No
RHOJ		3	3	1525	0.2%	No
TUBD1		2	2	1525	0.1%	No
UQCR10		3	3	597	0.5%	No
PBLD		2	2	1525	0.1%	No
RAD54B		1	1	200	0.5%	No
ATP5F1A		1	1	200	0.5%	No
ADAD1		6	6	1525	0.4%	No
TBL1X		1	1	200	0.5%	No
LCMT1		1	1	200	0.5%	No
LY6G6F		1	1	200	0.5%	No
SUZ12		28	28	2122	1.3%	Yes
RANBP2		4	4	200	2.0%	Yes
OR6F1		1	1	200	0.5%	No
RANBP3		4	4	1525	0.3%	No
ERBIN		5	5	1725	0.3%	No
RANBP6		1	1	200	0.5%	No
RSL1D1		8	8	1725	0.5%	No
CAMK4		1	1	200	0.5%	No
CAMK1		1	1	200	0.5%	No
ZNF354A		2	2	200	1.0%	No
LY6G5C		1	1	200	0.5%	No
ZNF354C		2	2	1525	0.1%	No
STEAP4		1	1	200	0.5%	No
GOLT1B		2	2	1525	0.1%	No
PRAG1		6	6	1725	0.3%	No
NPY2R		3	3	200	1.5%	No
OR6M1		1	1	200	0.5%	No
ARHGAP39		3	3	597	0.5%	No
SSC4D		3	3	597	0.5%	No
NALF2		2	2	1525	0.1%	No
NALF1		6	6	1525	0.4%	No
ARHGAP36		2	2	200	1.0%	No
ARHGAP35		5	5	597	0.8%	Yes
CMIP		1	1	200	0.5%	No
SYDE2		2	2	1525	0.1%	No
ARHGAP44		1	1	200	0.5%	No
SYDE1		4	4	1525	0.3%	No
ARHGAP40		7	7	2122	0.3%	No
BASP1		2	2	1525	0.1%	No
KNTC1		2	2	200	1.0%	No
PDIA3		1	1	200	0.5%	No
MYH15		8	8	2122	0.4%	No
KCTD1		1	1	200	0.5%	No
PDIA5		2	2	1525	0.1%	No
PDIA4		2	2	1525	0.1%	No
TIPRL		2	2	1525	0.1%	No
LRIF1		3	3	597	0.5%	No
STEAP1		3	3	597	0.5%	No
STEAP2		5	5	2122	0.2%	No
ARHGAP18		4	4	597	0.7%	No
ADRB2		1	1	200	0.5%	No
NALCN		4	4	1525	0.3%	No
DPP3		1	1	200	0.5%	No
PALM2AKAP2		2	2	200	1.0%	No
DPP4		4	4	1725	0.2%	No
ARHGAP22		2	2	1525	0.1%	No
ARHGAP21		3	3	1725	0.2%	No
DPP6		6	6	1525	0.4%	No
PDZD2		5	4	1725	0.2%	No
MAN2A2		4	4	1725	0.2%	No
MAN2A1		1	1	150	0.7%	No
CASKIN2		1	1	200	0.5%	No
CASKIN1		2	2	1525	0.1%	No
MYH13		12	12	1725	0.7%	No
MYH14		12	12	2122	0.6%	No
MYH11		7	6	1875	0.3%	Yes
MARK3		6	6	1525	0.4%	No
PDZD8		2	2	1525	0.1%	No
MYH10		2	2	200	1.0%	No
MARK2		2	2	1525	0.1%	No
MARK1		1	1	200	0.5%	No
SMAD1		2	2	1525	0.1%	No
SMAD4		1	1	200	0.5%	Yes
OPN3		1	1	200	0.5%	No
TDRD9		1	1	200	0.5%	No
SMAD9		3	3	597	0.5%	No
IFT122		2	2	350	0.6%	No
SSC5D		12	12	1725	0.7%	No
TDRD6		4	4	1525	0.3%	No
SMAD6		2	2	1525	0.1%	No
ARHGAP26		1	1	200	0.5%	Yes
SMAD5		2	2	1525	0.1%	No
ARHGAP25		1	1	200	0.5%	No
NMRAL1		1	1	200	0.5%	No
ARHGAP24		1	1	200	0.5%	No
SMAD7		1	1	200	0.5%	No
TDRD1		1	1	200	0.5%	No
ARHGAP32		2	2	200	1.0%	No
ARHGAP31		1	1	200	0.5%	No
TP53I3		1	1	200	0.5%	No
DNMBP		1	1	200	0.5%	No
JMY		3	3	1725	0.2%	No
MAN2B1		1	1	200	0.5%	No
TAS2R7		1	1	200	0.5%	No
FDCSP		2	2	200	1.0%	No
BDKRB1		1	1	200	0.5%	No
TAS2R1		1	1	200	0.5%	No
MAN2C1		5	5	1725	0.3%	No
TAS2R3		3	3	200	1.5%	No
TAS2R5		1	1	200	0.5%	No
PTGIS		3	3	1725	0.2%	No
DESI1		3	3	597	0.5%	No
MARS1		1	1	200	0.5%	No
OPRM1		3	3	597	0.5%	No
URB1		3	3	1525	0.2%	No
ARHGAP10		4	4	1525	0.3%	No
ITGB1BP1		1	1	200	0.5%	No
ITGB1BP2		4	4	1525	0.3%	No
MOSPD2		1	1	200	0.5%	No
PRRG4		5	5	1725	0.3%	No
NT5DC1		1	1	200	0.5%	No
ERBB3		2	2	200	1.0%	Yes
ERBB4		6	6	1725	0.3%	Yes
ERBB2		2	2	350	0.6%	Yes
PRRG1		1	1	200	0.5%	No
LRIG3		4	4	747	0.5%	Yes
NCAM1		2	2	1525	0.1%	No
NCAM2		4	4	1525	0.3%	No
S1PR4		1	1	200	0.5%	No
LGI1		2	2	1525	0.1%	No
RWDD3		1	1	200	0.5%	No
RWDD4		1	1	200	0.5%	No
LGI2		8	8	1525	0.5%	No
KDF1		2	2	1525	0.1%	No
NAP1L3		4	4	1525	0.3%	No
OR6N2		1	1	200	0.5%	No
NAP1L1		2	2	1525	0.1%	No
SGPP2		1	1	200	0.5%	No
NAP1L5		3	3	1525	0.2%	No
NAP1L4		2	2	1525	0.1%	No
FMNL3		2	2	1525	0.1%	No
PIKFYVE		8	8	1725	0.5%	No
FMNL2		2	2	200	1.0%	No
XPNPEP1		1	1	200	0.5%	No
XPNPEP2		2	2	1525	0.1%	No
ZPR1		2	2	1525	0.1%	No
ITSN2		1	1	200	0.5%	No
NUP107		2	2	1525	0.1%	No
IFT172		3	3	1725	0.2%	No
ITSN1		8	8	1725	0.5%	No
IGHV3-23		3	3	1725	0.2%	No
SLA2		5	2	200	1.0%	No
ALKBH8		2	2	1525	0.1%	No
RPSA2		2	2	1525	0.1%	No
ALKBH5		2	2	1525	0.1%	No
DPYSL4		2	2	1525	0.1%	No
DPYSL5		1	1	200	0.5%	No
DPYSL2		2	2	1525	0.1%	No
ALKBH1		1	1	200	0.5%	No
GPBP1		4	4	597	0.7%	No
ZC3H12A		3	3	1725	0.2%	No
FAM110B		2	2	1525	0.1%	No
DPYSL3		1	1	200	0.5%	No
ANKFY1		2	2	1525	0.1%	No
SMCO2		2	2	1525	0.1%	No
PWWP2A		1	1	150	0.7%	No
FNBP4		2	1	200	0.5%	No
SAP30BP		1	1	200	0.5%	No
IGHV3-30		2	2	1525	0.1%	No
FNBP1		1	1	200	0.5%	Yes
IGHV3-33		1	1	200	0.5%	No
TEX55		2	2	1525	0.1%	No
CACNA2D3		13	12	2122	0.6%	No
CACNA2D2		1	1	200	0.5%	No
CACNA2D4		5	5	2122	0.2%	No
CH25H		1	1	200	0.5%	No
MTHFD1		4	4	200	2.0%	No
EWSR1		7	7	2122	0.3%	Yes
FEZ1		2	2	1525	0.1%	No
FEZ2		1	1	200	0.5%	No
TXNIP		1	1	200	0.5%	No
CLOCK		1	1	200	0.5%	No
MEPCE		2	2	200	1.0%	No
LYPD3		2	2	1525	0.1%	No
ZC3HAV1		1	1	200	0.5%	No
PRPSAP1		1	1	200	0.5%	No
LTA4H		3	3	597	0.5%	No
JAG2		2	2	1525	0.1%	No
HEXIM1		2	2	350	0.6%	No
TOE1		1	1	200	0.5%	No
CREBBP		22	22	1725	1.3%	Yes
JAG1		1	1	200	0.5%	No
EIF2AK1		7	7	1525	0.5%	No
BTBD16		3	3	597	0.5%	No
EIF2AK3		1	1	200	0.5%	No
TEX36		2	2	1525	0.1%	No
EIF2AK4		6	6	1725	0.3%	No
BTBD10		5	5	200	2.5%	No
PBX1		3	3	1725	0.2%	Yes
FAM111A		6	6	1525	0.4%	No
AGO3		1	1	200	0.5%	No
AGO4		2	2	350	0.6%	No
HLA-DRB1		4	4	747	0.5%	No
KDM8		3	3	597	0.5%	No
NCAPG2		5	5	1725	0.3%	No
SNX13		2	2	200	1.0%	No
TFCP2L1		1	1	200	0.5%	No
SNX11		1	1	200	0.5%	No
CASP14		1	1	200	0.5%	No
NHSL2		1	1	200	0.5%	No
CASP10		3	3	597	0.5%	No
JAK2		69	69	2272	3.0%	Yes
JAK3		20	20	2272	0.9%	Yes
SLC18A1		3	3	597	0.5%	No
SLC18A2		4	4	597	0.7%	No
CHST8		6	6	1525	0.4%	No
MAMDC4		2	2	1525	0.1%	No
